param N := 14686;
param M := 12;

param Distance:	    
	1   2   3   4   5   6   7   8   9   10  11  12:=
1	18	31	32	63	193	66	114	166	211	230	239	388
2	215	219	190	253	383	167	115	66	3	55	70	227
3	69	73	44	104	234	18	66	117	162	181	190	349
4	9	31	30	55	185	64	112	163	208	228	237	379
5	120	124	95	158	287	71	25	77	122	142	150	309
6	11	33	32	57	187	66	114	165	210	230	239	381
7	15	30	32	61	190	66	114	166	211	230	239	385
8	197	201	172	235	365	149	97	47	30	53	58	216
9	118	122	93	156	286	74	18	65	110	130	139	297
10	122	126	97	160	290	78	19	64	109	128	137	296
11	143	146	118	181	311	94	44	61	106	125	134	292
12	139	143	114	177	310	90	39	57	102	121	130	289
13	31	50	52	67	197	86	134	186	231	250	259	392
14	229	233	204	267	383	181	129	80	52	20	34	194
15	230	233	205	268	378	181	130	80	53	14	40	189
16	234	238	209	272	385	185	134	84	57	11	44	195
17	230	234	205	268	386	182	130	81	53	17	47	196
18	233	237	208	271	391	185	133	84	56	30	39	202
19	229	233	204	267	378	181	129	80	52	6	43	189
20	230	234	205	268	386	182	130	81	53	17	47	196
21	171	174	146	209	293	122	67	96	141	158	157	315
22	238	241	213	276	377	189	138	88	67	50	6	188
23	17	32	34	62	192	68	116	168	213	232	241	387
24	121	125	96	159	289	77	15	76	121	140	149	308
25	119	122	94	157	287	75	7	70	115	135	144	302
26	114	117	89	152	281	68	19	71	116	135	144	302
27	116	119	91	154	283	72	8	66	111	130	139	298
28	126	130	101	164	294	82	17	78	123	142	145	304
29	121	124	96	158	288	76	10	70	115	134	143	302
30	127	131	102	165	299	83	28	70	115	134	134	292
31	113	116	88	151	280	68	12	67	112	131	140	298
32	129	132	104	167	297	85	20	76	121	140	143	302
33	117	120	92	154	284	68	21	74	118	138	147	305
34	115	119	90	153	283	67	28	70	115	134	143	302
35	115	119	90	153	283	67	28	70	115	134	143	302
36	119	122	94	157	287	72	18	71	116	135	144	302
37	118	122	93	156	286	74	18	65	110	130	139	297
38	121	125	96	159	289	77	15	76	121	140	149	308
39	207	211	182	245	375	159	107	58	19	55	71	228
40	208	212	183	246	376	159	108	58	9	54	70	227
41	203	207	178	241	371	155	103	53	19	49	64	221
42	205	209	180	243	373	157	105	55	17	45	61	218
43	204	207	179	241	371	155	104	54	15	47	63	219
44	21	24	31	66	196	65	113	165	209	229	238	391
45	17	32	34	62	192	68	116	168	213	232	241	387
46	22	38	36	62	192	69	113	164	209	228	237	386
47	20	28	34	65	195	68	111	162	207	227	235	390
48	11	33	37	57	186	71	119	170	215	235	244	381
49	20	32	34	65	195	68	116	168	213	232	241	389
50	23	35	34	65	195	67	111	162	207	227	236	389
51	34	35	28	74	204	61	105	156	201	220	229	388
52	25	27	30	68	197	63	106	158	203	222	231	392
53	26	34	37	66	196	70	113	165	210	229	238	391
54	28	29	25	63	193	58	102	153	198	218	226	388
55	30	32	25	63	193	58	102	153	198	218	226	388
56	21	37	36	63	193	69	112	164	209	228	237	387
57	30	33	31	69	198	64	107	159	204	223	232	393
58	25	28	30	67	197	63	106	158	203	222	231	392
59	24	40	34	58	188	67	110	162	207	226	235	382
60	44	10	46	89	219	79	127	179	224	243	252	414
61	38	38	28	74	204	61	105	156	201	220	229	388
62	23	27	29	66	196	62	105	157	202	221	230	391
63	24	34	32	66	195	65	109	160	205	225	233	390
64	11	33	37	57	186	71	119	170	215	235	244	381
65	34	37	30	68	198	63	107	158	203	222	231	392
66	13	36	41	58	188	74	119	170	215	235	244	383
67	11	33	31	57	187	65	113	165	210	229	238	382
68	17	32	34	62	192	68	116	168	213	232	241	387
69	16	33	35	62	192	69	117	169	214	233	242	386
70	177	180	152	215	346	128	77	13	72	88	87	246
71	129	132	104	166	296	84	18	72	117	136	139	298
72	28	32	30	67	197	63	107	158	203	222	231	392
73	43	47	10	88	218	47	95	147	192	211	220	379
74	60	64	35	105	235	16	67	118	163	183	192	350
75	117	121	92	155	285	73	22	76	121	140	146	304
76	113	116	88	151	280	68	12	67	112	131	140	298
77	10	35	37	56	186	71	119	170	215	235	244	380
78	143	146	118	181	311	94	44	61	106	125	134	292
79	46	62	67	82	212	100	148	200	245	264	273	406
80	172	176	147	210	340	124	72	6	67	87	88	246
81	127	131	102	165	295	79	36	65	110	129	138	297
82	142	146	117	180	313	94	42	60	105	125	133	292
83	175	179	150	213	343	127	75	35	80	100	109	267
84	55	57	28	89	219	30	73	124	169	189	198	356
85	134	138	109	172	302	86	44	65	110	129	138	296
86	30	35	32	69	199	65	109	160	205	224	233	393
87	54	79	80	4	152	113	157	208	253	273	281	347
88	134	138	109	172	308	85	34	50	95	114	123	281
89	31	50	52	67	197	86	134	186	231	250	259	392
